,iso3,age,female,urban,edu,year,Vitamin B9,Vitamin B3,Vitamin B2,Total Milk,Zinc,Vitamin E,Vitamin D,Vitamin C,Vitamin B12,Vitamin B6,Vitamin A,Selenium,Potassium,Magnesium,Iron,Iodine,Dietary Sodium,Calcium,Added sugars,Dietary fiber,Dietary cholesterol,Plant omega-3 fat,Seafood omega-3 fat,Total omega-6 fat,Monounsaturated fatty acids,Saturated fat,Total protein,Total carbohydrates,Tea,Coffee,Fruit juices,Sugar-sweetened beverages,Yoghurt (including fermented milk),Cheese,Eggs,Total seafoods,Unprocessed red meats,Total processed meats,Whole grains,Refined grains,nuts and seeds,beans and legumes,potatoes,non-starchy vegetables,fruits
6179,BDI,999.0,0,999,999,2018,1.35305389546235,12.2996650045391,1.19231698681546,23.3365961340007,6.81402861716721,9.67211224532822,0.340580521410174,92.8811783616279,2.07865020774102,1.35305389546235,1839.06629744198,95.01531762748148,2305.68380657701,293.544419549285,8.80035172777277,88.2337105440047,1977.35394650456,447.553602943683,5.81068062070228,26.4117521578714,128.54587958688,627.971847999997,57.1787572881123,2.54101545150806,11.4386835233786,8.88650004787482,58.9871709459157,61.3139927081713,0.938682368648708,0.2718577163055,10.3421414531228,174.453181938241,0.752177403132242,0.419204417645576,3.40205607473987,31.9750877365897,11.8792876335994,5.88668499732947,33.0020740156321,139.582813897426,6.48824259412635,39.7008202869009,41.6671645531695,181.409998710365,72.5458296978259
6191,BDI,999.0,1,999,999,2018,1.36372096785563,11.8965875403742,1.17842611027003,24.9831311437205,6.57759657565124,9.526210521964527,0.333086244111659,103.358528557249,1.90911764769864,1.36372096785563,1928.22081064717,91.91111372225292,2368.42259178951,291.691109619025,8.68982392083434,85.4758515976964,1890.10253569495,457.078999518167,6.54227622492657,27.0213615831491,123.393282074978,654.002969650092,54.1526458598708,2.55684584238277,11.1558726439844,9.2286007222045,56.1934554572293,64.6469941015612,0.960305505753461,0.271915200505609,11.3382414503222,166.942347511591,0.831385735029035,0.459695920671461,3.59184498920586,33.5923312758506,12.1202719431569,5.12102992025099,32.657277820617,144.624547796046,6.39684367956771,41.2369025654732,37.820063631756,192.421487382488,75.0032445348645
6743,BEL,999.0,0,999,999,2018,1.51623192296273,13.2285168049838,1.98802666834363,93.0637896604086,13.4704640772967,9.174094801618033,4.00956502690858,83.4019107949496,4.66375600433762,1.51623192296273,1514.31458860406,86.766416326198,3856.47404825475,329.756548037872,8.61018612569575,182.567603527828,2727.8333344977,742.63040577418,19.1959458466534,16.2090029389068,273.420281393388,1267.49016759903,231.50079511929,2.70418813305042,13.6367958056911,15.1691245648166,87.2868120584909,48.9531148926634,0.9464944031284,2.28540175979825,61.901979599529,204.469486673908,19.4697548306394,65.0073830145667,9.92881212546189,19.7356748138738,60.7336430807578,31.501869313789,62.984812061196,59.0349978433885,3.4800948014497,4.78847244573407,143.97017337727,101.249839151469,90.5661916671712
6755,BEL,999.0,1,999,999,2018,1.53415655264543,12.2947251444129,1.94571611553389,97.0680542502724,12.9027209549307,9.46418904255548,3.80900219577056,93.4852862355178,4.41080449965389,1.53415655264543,1570.53280282561,82.8891584789981,3910.5986335058,331.637852834249,8.06251396969039,180.196920951787,2446.45473808931,849.977962535544,19.5654300527138,17.9049181903982,252.11725019631,1308.49811527141,226.158971108471,2.69575331635192,13.6175576543738,15.5076946791451,85.0466844550821,52.1866576278253,1.01817307035684,2.22414666222596,67.3771187197771,182.316013397566,23.0890910762,62.5766684145591,9.11333727272358,19.5958022245845,53.9812054256218,24.9776637773559,68.8973224397458,53.7540781814062,3.23866466991748,4.29098446195416,131.344286309279,124.984811868825,116.7329860944
7307,BEN,999.0,0,999,999,2018,1.51131944634774,13.9160048721758,1.17458125122522,23.6201071341946,8.37661265863836,8.8859824647181,1.89019589847704,78.4472989045333,2.27509145986555,1.51131944634774,1730.49164433491,100.874626255498,4036.15685123584,312.900791606752,10.9655421038481,79.5960228535406,2164.69436974746,482.440304314199,25.1940812563191,13.8619873081645,113.523767206279,765.118880839786,102.942661737389,2.61327498771788,13.832623112378,7.71117225590561,50.222533503267,60.4000804163198,0.53424823326742,0.200706260425727,11.8105038136203,170.696834941166,6.86800359140681,1.77928106259781,8.81744182672893,21.7555342010844,16.0879540830932,27.2670602923197,33.4214761121162,184.774193101914,12.8684693673483,23.8704965835901,11.7881985518214,95.9936490204675,72.9612386152173
7319,BEN,999.0,1,999,999,2018,1.51571261711878,13.4973433060676,1.15547752078871,25.2946817259038,8.07164251851098,8.81802395076237,1.88476152738253,87.1493551705739,2.09283223709185,1.51571261711878,1812.08280742449,97.0807300349403,4112.95132404232,310.668481630694,10.8275185763598,78.0681590721903,2085.07438172787,490.954612170216,25.7244223250772,14.2417548239773,109.09582727057,789.620748639948,96.0993500855753,2.62497433810782,13.4990557222511,8.08572994901274,47.9479357073838,63.8284574676923,0.547160310978743,0.200632709845192,12.953673589896,170.588482586898,7.76950911759087,1.98319377484717,9.77148951085258,22.6161630072115,18.7913298000503,24.2517238133598,33.5194857478618,193.966538211471,12.8202194833189,25.5490271011084,10.732936216567,101.664086262385,76.6420908350492
7871,BFA,999.0,0,999,999,2018,0.955896524610201,12.1365930091611,0.9329998424785508,26.0640043228398,10.1902475324088,8.45196358993993,2.63283862170682,31.130427982665,1.51905312336241,0.955896524610201,587.709037421889,96.9817268535958,1983.40563458094,382.640187453265,17.7234940964902,101.095340040201,1854.38396614578,422.14484946364,6.27143925048992,14.5764010608117,96.2119058640554,1015.92867989856,164.390375867076,2.66144874930928,13.8555375450983,7.62180737954374,75.6244668979999,66.3597335551391,0.717501450189545,0.310876852377836,8.84474064549143,94.1541790502249,2.91992672731625,0.487016064546164,2.72769019792157,27.8804441585086,2.7406964257754,8.60018605978735,59.168664546353,155.330936667068,21.7339302779413,8.74302001613149,21.2197879660946,25.8022444806832,34.1866461037573
7883,BFA,999.0,1,999,999,2018,0.985082779436134,11.4569413399881,0.954599926486198,27.8856975001048,10.0718536171387,8.42178425142043,2.63980355336424,31.2861911235202,1.10612730009664,0.985082779436134,640.362748365983,94.0359089301781,2031.18428408173,379.548873919918,17.7183514767331,97.5069723714707,1766.9492731244,463.840529461513,7.13371843298846,15.040263909865,93.1267544334371,1048.40462414245,154.461841908855,2.67651098661424,13.5044584867171,8.00720444348208,77.3138690100365,70.8944167208531,0.724152390794762,0.305044292199773,9.39643596509828,87.8284724441748,3.20256118193065,0.550378033844295,2.85915248636371,29.5768507748592,2.92601005129252,7.45756099940101,59.0359050255933,161.023304737759,21.7068969479399,9.49311467845877,18.9389856535142,28.2632529404424,35.2854732158563
8435,BGD,999.0,0,999,999,2018,1.10200911005818,14.233103769998,0.489520619485874,36.6501179935006,7.84815687817901,3.82975738285629,2.34203528372383,41.7504835168727,1.83397142957581,1.10200911005818,305.370742480598,221.953128114422,1333.379483252,333.05344167024,10.4877964681523,112.610532226998,3942.58538993051,356.189865379179,0.30849778742174,23.5151051234822,60.8837328476978,401.838480652048,101.963015569582,2.43157475098246,3.85616105520832,3.11037934505087,45.8279604686669,73.5217749854272,0.609094763649525,0.784494722235817,3.32009242175506,10.1010798452206,2.74693042919415,0.505147711402389,11.3766233794537,40.7676272036837,7.9700412415226,0.419676432310428,35.7773652805341,602.105392428841,0.64340593814726,29.2110074284913,100.956012158827,215.093893770448,53.3415665359723
8447,BGD,999.0,1,999,999,2018,1.18083405181232,15.8277608319883,0.47215038539063,35.2041340841632,7.2082235115692,3.41867341349253,2.40519451227555,44.882936422827,1.20027964061438,1.18083405181232,310.227339113667,218.461302956626,1306.89441724326,340.693996193094,10.1134886416102,107.246380178985,4012.59640288591,329.193500767971,0.534690749260369,24.3413198068107,54.1384647795884,408.369178787477,96.90658046693332,2.39790234235485,3.45500017370608,3.00021476699203,45.8627377210863,74.5442626659106,0.540157332998297,0.767062183915657,3.58002191335339,9.37327069017728,2.8526150719314,0.529743158695931,10.5454593385701,42.4667067445305,7.99581171547289,0.372157615171251,34.8351327109501,584.288726226321,0.685208439529617,28.5570879521075,96.257056800065,235.217937981764,56.1217530945088
