,Unnamed: 0,iso3,Vitamin B9,Vitamin B3,Vitamin B2,Total Milk,Zinc,Vitamin E,Vitamin D,Vitamin C,Vitamin B12,Vitamin B6,Vitamin A,Selenium,Potassium,Magnesium,Iron,Iodine,Dietary Sodium,Calcium,Added sugars,Dietary fiber,Dietary cholesterol,Plant omega-3 fat,Seafood omega-3 fat,Total omega-6 fat,Monounsaturated fatty acids,Saturated fat,Total protein,Total carbohydrates,Tea,Coffee,Fruit juices,Sugar-sweetened beverages,Yoghurt (including fermented milk),Cheese,Eggs,Total seafoods,Unprocessed red meats,Total processed meats,Whole grains,Refined grains,nuts and seeds,beans and legumes,potatoes,non-starchy vegetables,fruits
33275,33275,FSM,1.24292440303425,15.1693984543859,1.31863205505844,23.4831640055151,7.98624965488709,23.3611859343198,4.02901940882728,70.450665161437,3.22550784476054,1.24292440303425,1736.25305140515,122.096784011027,2500.34374379342,235.250188659395,11.2790250632303,94.5491744254444,2732.39995411369,528.085694621685,17.2721405417846,8.77511368375488,206.377636788472,1008.97127010186,812.668539177889,2.59581474563361,9.02204139543786,14.502891172786,61.9178841403915,58.5514523209958,0.369588288605866,0.121951010158592,9.06788391058098,147.660850903829,7.03568478539054,2.01131258006115,32.3112838603335,59.3028727628071,34.505135568664,30.9288650890822,34.3218605161703,476.225513089929,2.89662565978589,27.9150977643763,0.970929682355892,138.346460032379,145.375375314988
33839,33839,GAB,1.04298632282355,7.44896163686022,1.34513627872528,62.6952427113437,8.5191359692482,12.0997484729718,2.22439251869353,66.752645089298,2.77197733743628,1.04298632282355,1568.1679832356,94.491873412952,2530.32126733694,250.366010330486,10.9333036101409,95.1508696200317,2075.016799359,772.653630104024,2.80545077550262,46.8784464593928,161.249679754751,874.706012788892,325.28396445563,2.72506085440832,13.1846051411175,11.2614337821923,51.1780700095547,57.8744315945205,0.563152037794252,0.210017284539896,22.8557504797029,194.462795130756,7.20701024231007,0.909524401742058,11.9855262664089,31.7783906405443,32.3962816732783,7.94467486062399,50.200125454864,162.128676603249,20.2097080738419,2.61138742846189,57.3433022234046,122.207463398884,69.854514090441
34403,34403,GBR,1.57576646211589,18.4370537341837,1.64813159324638,203.835945946599,8.87749543496945,4.11306540272453,1.65417008886115,91.3100162328312,4.51453417676796,1.57576646211589,211.234774398227,90.691719575805,3086.92429628622,267.988498112215,6.83427497074739,183.559683837054,2526.44232020095,809.014876045771,11.2590310429939,11.351717485701,274.156914077173,1818.79162708301,217.258952112594,2.623930008483,14.207104372324,12.2924373701777,67.8817746308213,56.2499674768126,0.667606722344862,2.24594235649786,36.5183047554625,161.133237201302,52.0821287707862,38.9746770334636,18.4013569692655,28.6999226101187,41.5076343580816,33.5149712767974,46.2093461589832,110.727357224676,5.39614756503847,40.2811058321959,129.035825727662,117.429923383267,91.3069328089508
34967,34967,GEO,1.53211769566039,16.7457332641445,1.39998154746635,94.1133413893558,13.6594602981018,11.5769407365582,3.65210711225689,42.2591949102375,3.66917141404835,1.53211769566039,663.293972395409,25.98159389915,2687.96527813352,323.818451523862,18.0528910250094,90.866852149428,2608.1015092428,595.809427121898,8.97505981301352,19.8242218663485,179.752748053673,615.092725258525,368.641481731546,2.5410299880905,16.952309488762,9.31260725201768,98.7382608445936,51.8251863487589,0.364261333439601,2.01654668888559,36.3004591197306,72.2362061383542,57.0491482596179,68.4136127152879,21.4165761711902,56.9053791066724,15.2065010284032,66.8338388290153,43.4975794023503,396.377936339588,6.26997392501382,34.5405454442349,111.350168472476,87.6637244599388,71.8341812687634
35531,35531,GHA,2.01367512216174,19.2783475203297,1.23556109736919,30.7992030320284,7.94413455127078,10.6150799712287,2.43889877027686,136.934683641903,6.25696606529555,2.01367512216174,2521.91219558274,85.4805451015178,3296.73434689294,337.225174618468,12.2870194533853,88.8371350509561,2442.52645056442,356.679646946334,7.56661506342226,27.4726194300773,91.004583005465,435.961080745727,158.351560640143,2.61678412182027,7.88125830951725,7.1571201232087,65.5880886926679,68.9023676599879,0.484382791363052,0.10496317189446,11.9328866096529,208.478558972137,1.73227255249331,0.592070621567181,11.7713989211363,90.359344117585,14.5823674373178,2.62598368763031,11.0013055544549,217.589817686428,29.2569521044435,19.4550359683018,2.21743164768684,137.44511503057,87.942454399952
36095,36095,GIN,1.35547792310557,14.8960987255436,0.997087503828803,29.3485951856071,4.39465759105174,7.38217986400721,2.39417283464468,75.9617191961491,2.14221227867056,1.35547792310557,2698.81820020331,94.977375456424,1750.20153730665,230.24311546419,5.15643414196312,92.4857389615303,1727.14487168505,432.141234626704,0.367444350099644,20.2572614911746,162.772984146709,660.79869527344,67.8627604147706,2.57962200819001,12.0126616133991,9.46103045096642,51.7039033793054,62.8984055135554,0.523413481939284,0.395965616912801,6.33707529957027,59.4239595234644,3.92700477063639,0.792167314640726,4.04241710838035,16.5130668370889,13.5522662685113,17.7617059844027,40.050537435429,154.021354518141,10.6373033391234,3.2438271458946,295.065154079729,20.231449697542,22.0132637346535
36659,36659,GMB,1.10297790336144,9.4796977810944,1.07194149145395,15.416263361149,8.0119372127492,9.73527676201394,2.67886564143277,16.2544411262107,2.16734884372385,1.10297790336144,2529.49151270774,103.172297103572,1163.77216117935,369.358617403474,6.65704976014739,85.5541923579405,1714.29479560366,191.848386340597,6.80953145511873,19.4466632999756,99.5818087650231,937.667656346017,325.133850553436,2.71559605626287,9.72971503836618,9.554127283388247,27.0102353118226,61.2638356942636,0.634254019325353,0.0671739062159956,14.2425136099512,156.625641678982,1.9924101557347,0.84491618476561,7.41078680943365,38.522673246748,6.90506557638548,35.4557858847731,62.3230340679091,162.719488818665,11.9561755499707,7.02647885230659,4.23287449307271,48.0739901920798,30.7245107906109
37223,37223,GNB,1.10138534710402,7.82270401310168,1.18913215186894,52.1218583314551,6.38055937456277,11.8540353927592,2.00717212190868,62.1405336074108,2.20183429931018,1.10138534710402,1982.48566958673,87.617524795328,1791.24411542383,265.527923155996,13.2791562127565,75.411189381193,1981.50254631067,364.88895731201,4.57367047159157,11.2541049999946,131.765840273508,791.334624609364,16.3866555918972,2.63908134099817,9.85196168944742,11.2119419049239,31.0705908454106,60.416867205112,0.719503646907379,0.202709241361684,15.1961156050396,199.787198872255,7.82486638951447,1.27839341890014,5.2313019108511,17.4289289114051,21.453554001689,5.07837699077026,18.285184375591,313.121425568303,12.6300619238684,90.9183294249315,341.87892613949,138.129297225877,67.6474543330355
37787,37787,GNQ,1.41911032030635,13.4602969371327,1.2369736172547,39.7330486232688,6.94220946829842,13.1370214587804,0.252598007647696,98.5431375280148,2.57247072096593,1.41911032030635,1981.30285185531,95.2406332645926,2554.0184688371,288.648078803437,9.48265334837183,73.5771260131462,1998.30631559451,533.619303825556,3.09726182474548,29.0700682129944,148.945771004357,794.055421319623,229.231031037667,2.69356960623911,11.6313708337771,10.1846073515503,57.9924435173173,59.2508754329491,0.553651653847536,0.365712897651697,18.5859497518127,196.060222065237,10.6049651377999,1.50864560742906,3.71002171529063,54.2369992650175,26.4118802008408,4.85936468799479,39.2014041811009,306.913984925552,11.3565922736603,36.7547656746837,142.465563574714,147.326526969456,91.0326262252991
38351,38351,GRC,1.62184969886739,19.1764833438963,2.03198782493428,128.570796365124,11.0138431803702,8.90432730423217,3.97713108435581,88.045539537047,4.58790806001142,1.62184969886739,1005.79048411245,92.1340497848512,4125.94240994503,303.783527940407,11.9411438044194,178.042002475544,1674.61746398293,906.270020665346,7.93551097640429,30.9731561248614,180.821428097589,1554.85410565359,481.623145588815,2.75494662920543,12.8248499621349,14.5338667734113,93.2819909747576,47.517558903888,1.93552299109513,1.81190218600329,15.5576767494722,74.7622803863388,64.0770737173483,30.542586057787,15.8613925597374,30.6375641509335,77.4676936190349,5.49606809352311,34.2629900024949,21.2481550077929,7.38664749846837,13.9324726881476,80.2151718603106,91.2729013052423,77.0448112472848
