,Country Name,Dietary Sodium,Added sugars,Dietary fiber,Dietary cholesterol,Plant omega-3 fat,Seafood omega-3 fat,Total omega-6 fat,Monounsaturated fatty acids,Saturated fat,Total protein,Total carbohydrates,Value
27,Burkina Faso,1766.9492731244,7.13371843298846,15.040263909865,93.1267544334371,1048.40462414245,154.461841908855,2.67651098661424,13.5044584867171,8.00720444348208,77.3138690100365,70.8944167208531,8.1
28,Bangladesh,3942.58538993051,0.30849778742174,23.5151051234822,60.8837328476978,401.838480652048,101.963015569582,2.43157475098246,3.85616105520832,3.11037934505087,45.8279604686669,73.5217749854272,2.3
29,Bangladesh,4012.59640288591,0.534690749260369,24.3413198068107,54.1384647795884,408.369178787477,96.90658046693332,2.39790234235485,3.45500017370608,3.00021476699203,45.8627377210863,74.5442626659106,5.0
30,Bulgaria,2852.66847062563,1.79413687235119,21.1819492828838,269.814052326401,976.54328437353,136.637769620642,3.05951390882014,10.340043839433,12.79939900037,63.8389418718473,48.4370580775416,25.5
31,Bulgaria,2477.4485003985,1.56289951723916,18.5665680264106,234.960980503449,846.855189348176,110.021447979176,3.08799431106679,9.670042792493533,13.0872883108261,59.8232719104687,55.5113287683133,24.3
32,Bahrain,5154.95420583116,10.1658583932217,9.72497226604025,220.598194474063,1100.95571818254,53.5118605708966,2.72001290539082,14.7458059240526,10.5193471664419,85.9748236045904,52.9909652400392,25.5
33,Bahrain,4793.0209705499,11.3031959988976,8.68776406847632,191.847521674147,1119.47810244932,50.5657606155755,2.73225835222179,13.3971003908685,11.0168725948746,75.8557830047453,55.3634408783992,36.8
34,"Bahamas, The",2447.42593271237,4.74963658452973,21.2986779136946,279.119089413527,871.214796218397,239.645981088252,2.62536127134478,7.40184519978998,10.7921087760177,70.3264134790373,53.7583177166399,24.4
35,"Bahamas, The",2380.66143295392,5.00648280301034,21.7638004221128,267.402312388553,829.115690867268,235.409968097107,2.64070390351188,7.41655130029477,11.2680279891546,68.5003186540777,56.0223465551154,38.1
36,Bosnia and Herzegovina,2963.3961649661,3.9596425172686,18.5269065984971,334.343342906195,610.548400696624,151.025127345197,2.50388051505765,19.6047275587961,9.69505769933268,84.8518420897125,48.0991517411948,17.1
37,Bosnia and Herzegovina,2665.97568569721,3.49637669352601,18.4778761846968,313.313854769521,529.93414649222,130.291206613252,2.52315068400397,18.5824202290931,10.0253068042437,78.9591452768275,53.9453482812574,18.4
38,Belarus,3213.83244973755,5.38848672028885,31.7271136810348,377.658907096824,844.262888802977,818.133500682074,2.60095230816985,14.7780690175243,13.6729520750903,74.4874177607646,44.0205659600844,22.1
39,Belarus,2872.10239560861,4.85786701937843,31.6748815821684,352.187328639929,724.565862726989,705.545679426583,2.6181749150456,13.8035974499262,14.1388582652021,69.3845431959056,49.9500876572133,26.3
40,Belize,2011.1502847407,19.0177213129018,15.7228168393929,324.879057693704,806.910115416799,127.166134253203,2.59153677881615,10.8146275454509,7.5198801084297,66.6568395438175,56.7393489926877,16.5
41,Belize,1926.36828441359,19.7289408708088,16.0306506831321,311.751808375548,767.049241008787,119.347851135511,2.60488159889068,10.8240345878511,7.94474351610067,65.2027461746851,59.034361912263,31.5
42,Bolivia,2273.94261053421,7.12904436013934,8.6249498535646,286.297878822243,876.074849420296,17.2937764329486,2.58996940392403,10.9788899864416,11.0828487891269,57.6485619919051,47.6759639725849,14.5
43,Bolivia,2201.52627874577,8.1440443607428,8.99319606534104,274.324884191736,837.115898190565,16.292366613171,2.60362591940253,11.3614393181408,11.9249482617139,54.8173043984924,50.0658814781509,25.6
44,Brazil,3207.95800766827,11.7440379058094,28.90693698284,277.92628494419,1975.68277790818,110.825917842713,2.72999138208239,10.4398895771738,9.90915212946889,95.9733374590932,52.0801477904406,18.5
45,Brazil,3056.66585776846,13.2124169524264,28.6451016847108,267.27770517914,1916.73974617569,103.593923403911,2.73746129471789,10.4529000346638,10.268210912392,91.0461559031319,53.653743637446,25.4
46,Barbados,2220.91490495993,19.7313509595527,38.1085496171195,273.21974325185,268.063100574445,1582.13544324101,2.86528840819525,8.25815007712361,8.76026326476786,59.3075040175068,55.6003993774933,14.7
47,Barbados,2157.25257044605,20.1351028568314,39.0003414439748,267.610717795712,252.165593978112,1515.2378116736,2.87323597292645,8.25040579875165,9.05118636870256,57.7248412899813,57.8753882136492,31.3
48,Brunei Darussalam,2762.15943817211,20.4507879623512,15.4803575492979,341.976102761782,953.927494369163,630.962123153365,2.5601165810023,10.01211732488,12.65825776332,80.4482715795877,58.1558553918337,12.5
49,Brunei Darussalam,2721.42664929767,25.0371995349436,15.8644635612186,336.749439135978,1028.76529824136,617.421415839107,2.57281500629783,10.060762740562,13.0880688643517,79.1585586526947,59.2439492876349,15.7
50,Bhutan,3161.41058762016,11.7343729839072,32.3247676033848,109.501344968593,705.073922151669,115.476624898985,2.57921518483319,6.09105202519304,6.44460819166699,56.0232703934356,67.0110371776063,4.7
51,Bhutan,3065.42900793354,15.9622057736553,32.2181577800572,103.257217836234,711.351683068894,108.113997963452,2.58669114101255,5.94189479108759,6.75599290901759,54.6591850058813,69.4981628294968,8.5
52,Botswana,1972.57594001676,14.5651817490314,36.8879620040467,169.726426319891,750.073628682556,37.3015536740859,2.70848493356748,11.610222434429,8.32553596406421,88.6154034576995,56.0229597310762,8.1
53,Botswana,1884.71774115727,15.1619207941471,37.8703390609785,163.670788778246,780.089617459664,35.3508191018688,2.72006463711867,11.3740993388487,8.67518541550409,84.830554957202,59.4528796999774,29.3
54,Central African Republic,1905.94736865939,0.11457687431095,23.2547578065299,149.132624721851,1046.35419361212,145.83155133462,2.72809656302397,9.90921103431552,8.86789386888693,71.3024824691674,58.9831131503798,3.7
55,Central African Republic,1812.69342353819,0.137975895065791,23.8169127075435,144.441069713012,1073.22782719264,136.893108201228,2.74121365348503,9.6431860546877,9.293140160980553,67.9941035042092,62.5295165207247,10.9
56,Canada,2893.80189741893,9.72142066935051,14.7644079162934,280.779121335709,1627.16877167677,137.282307918135,2.53284453435813,12.2005420596065,10.8594259914523,84.994918854926,48.6938992255908,29.5
57,Canada,2787.42224781776,10.1311999474485,15.9827131698282,274.681207521684,1757.10824004469,135.339905413564,2.53747269908742,11.8347318665286,11.1145441983034,82.9613150992653,50.4003271038001,29.3
58,Switzerland,2716.99615548596,4.67993303963094,15.5797032457768,271.461838725359,1316.59076178613,350.688601526121,2.6460368525992,12.6604840784846,13.1583997313426,67.8965266142142,43.4230933091433,22.2
59,Switzerland,2552.28777413391,5.5937224795605,15.4625604500998,232.249258847432,1357.18396636459,340.109768188743,2.66055162801641,14.3128487713243,13.9839746783299,58.0748552754648,48.6290498032019,16.9
60,Chile,2544.38429086413,15.1021061932889,22.5075885813976,352.566217817704,801.076512485021,131.906677916305,3.19732840919736,10.1979800574373,10.4323385615749,84.9863591735361,59.7940037538451,24.9
61,Chile,2463.47790796759,15.6012802234616,22.0421016487514,336.272200099076,763.260544834319,124.743965701083,3.24043789762808,10.9458717610904,11.0590775092451,86.0588847887562,62.8217968097314,31.0
62,China,4170.19525789945,0.35928488252727,20.9010299249221,274.3357744367,2697.79375592638,68.6153599908198,2.92542083899814,8.8418931471237,10.0441528092224,71.934291002881,59.307556108042,5.9
63,China,3819.815670312,0.840919858035487,21.8703284105153,265.588599783953,2926.0398026733,67.4388485607196,2.93718660801035,8.76197118950504,10.0398261436552,71.2689290312493,60.5763262970387,6.5
64,Cote d'Ivoire,2068.63016489652,2.9677720932897,20.4712817743236,126.515081046704,479.36404831872,57.2037945331934,2.50563409514436,13.6569112184479,9.67730392892172,67.4625261056836,60.5476037376384,5.8
65,Cote d'Ivoire,1975.61299589784,3.41120966705497,20.8592747332127,120.541848741062,497.586240867528,52.5851365521025,2.52165760916909,13.1605455265388,10.067365944149,63.5499099028977,64.2842427160307,15.2
66,Cameroon,1422.39468932817,2.71967823728291,28.7658791294888,107.335363503687,756.169865440346,118.500092457978,2.6259105640324,15.3122303935017,4.25087724194413,64.813686030131,49.9626821009846,6.1
